transaction_id,timestamp,user_id,merchant_id,amount,product_category,payment_method,device_type,browser,country,ip_country_match,account_age_days,velocity_1h,prev_chargebacks,device_mismatch,address_mismatch,failed_attempts,is_fraud,hour,day_of_week,month
TXN100000,01-01-2023 00:09,USR1760,MERCH212,440.95,Fashion,Credit Card,Desktop,Safari,India,FALSE,912,1,2,FALSE,FALSE,3,1,0,Sunday,1
TXN100001,01-01-2023 00:37,USR6323,MERCH250,451.72,Books,Debit Card,Mobile,Safari,UK,TRUE,190,3,0,FALSE,FALSE,1,0,0,Sunday,1
TXN100002,01-01-2023 00:53,USR1922,MERCH289,349.66,Beauty,Credit Card,Mobile,Chrome,Nigeria,TRUE,1477,1,0,FALSE,FALSE,1,0,0,Sunday,1
TXN100003,01-01-2023 00:54,USR3343,MERCH172,1338.68,Grocery,Debit Card,Desktop,Safari,Germany,FALSE,737,7,3,FALSE,FALSE,0,1,0,Sunday,1
TXN100004,01-01-2023 01:01,USR8552,MERCH291,884.8,Electronics,Credit Card,Mobile,Chrome,Nigeria,TRUE,19,2,0,FALSE,FALSE,0,0,1,Sunday,1
TXN100005,01-01-2023 01:02,USR1113,MERCH209,875.63,Electronics,Credit Card,Desktop,Firefox,Brazil,TRUE,47,1,0,FALSE,FALSE,0,0,1,Sunday,1
TXN100006,01-01-2023 01:03,USR5443,MERCH139,287.64,Electronics,Debit Card,Mobile,Edge,Brazil,TRUE,1775,2,0,FALSE,FALSE,0,0,1,Sunday,1
TXN100007,01-01-2023 01:13,USR7404,MERCH162,935.59,Sports,Net Banking,Desktop,Firefox,USA,TRUE,1841,1,0,FALSE,FALSE,0,0,1,Sunday,1
TXN100008,01-01-2023 01:21,USR4160,MERCH235,970.82,Grocery,UPI,Mobile,Chrome,USA,TRUE,601,2,0,TRUE,FALSE,0,0,1,Sunday,1
TXN100009,01-01-2023 01:29,USR7470,MERCH161,50,Beauty,Credit Card,Mobile,Safari,USA,FALSE,57,1,0,FALSE,FALSE,0,0,1,Sunday,1
TXN100010,01-01-2023 01:29,USR2114,MERCH275,4974.08,Electronics,Credit Card,Tablet,Chrome,UK,FALSE,824,3,0,FALSE,FALSE,0,0,1,Sunday,1
TXN100011,01-01-2023 01:30,USR2825,MERCH204,1280.31,Books,Credit Card,Mobile,Edge,India,TRUE,64,4,0,FALSE,FALSE,0,0,1,Sunday,1
TXN100012,01-01-2023 01:36,USR9459,MERCH261,452.89,Sports,Credit Card,Desktop,Chrome,Germany,FALSE,1834,1,0,FALSE,FALSE,2,0,1,Sunday,1
TXN100013,01-01-2023 01:37,USR4160,MERCH152,584.95,Electronics,Debit Card,Desktop,Safari,India,FALSE,876,1,0,FALSE,FALSE,0,0,1,Sunday,1
TXN100014,01-01-2023 01:37,USR9547,MERCH204,805.5,Electronics,Credit Card,Mobile,Chrome,China,TRUE,1294,3,0,FALSE,FALSE,0,0,1,Sunday,1
TXN100015,01-01-2023 02:06,USR7880,MERCH247,208.3,Electronics,Debit Card,Desktop,Firefox,India,FALSE,1346,1,1,FALSE,FALSE,3,1,2,Sunday,1
TXN100016,01-01-2023 02:09,USR5369,MERCH100,1372,Fashion,Net Banking,Mobile,Safari,Germany,TRUE,1019,7,0,FALSE,FALSE,0,0,2,Sunday,1
TXN100017,01-01-2023 02:19,USR9693,MERCH187,120.09,Grocery,Net Banking,Desktop,Chrome,USA,TRUE,1428,3,0,FALSE,FALSE,4,0,2,Sunday,1
TXN100018,01-01-2023 02:34,USR9860,MERCH100,1740.59,Fashion,Debit Card,Desktop,Safari,UK,TRUE,462,1,0,FALSE,TRUE,0,0,2,Sunday,1
TXN100019,01-01-2023 02:57,USR4075,MERCH224,565.47,Fashion,Debit Card,Mobile,Chrome,USA,TRUE,707,2,0,FALSE,FALSE,0,0,2,Sunday,1
TXN100020,01-01-2023 03:13,USR7232,MERCH156,528.21,Grocery,UPI,Mobile,Firefox,India,TRUE,1836,1,0,FALSE,FALSE,0,0,3,Sunday,1
TXN100021,01-01-2023 03:25,USR3180,MERCH117,1047.69,Electronics,Debit Card,Desktop,Chrome,China,TRUE,1620,3,0,FALSE,FALSE,0,0,3,Sunday,1
TXN100022,01-01-2023 03:26,USR7693,MERCH179,2501.5,Fashion,Wallet,Desktop,Safari,USA,TRUE,799,1,0,FALSE,FALSE,0,0,3,Sunday,1
TXN100023,01-01-2023 03:43,USR7793,MERCH169,829.48,Fashion,Debit Card,Desktop,Edge,USA,TRUE,1871,6,0,FALSE,FALSE,0,0,3,Sunday,1
TXN100024,01-01-2023 03:53,USR2302,MERCH289,573.38,Grocery,Credit Card,Mobile,Chrome,UK,TRUE,234,1,0,TRUE,FALSE,1,0,3,Sunday,1
TXN100025,01-01-2023 04:09,USR7766,MERCH124,2284.81,Beauty,Credit Card,Desktop,Chrome,India,TRUE,1363,1,0,FALSE,FALSE,0,0,4,Sunday,1
